Player,Depth,Heuristic,Total Plays,Total Time,Total Leaves,Total Cuts,Won
2,1,center,25,0.009891748428344727,398,0,0

1,3,num_pieces,74,3.082498550415039,181946,2521,1
2,1,subtraction,73,0.014834880828857422,1300,0,0

1,3,num_pieces,74,3.09084153175354,181946,2521,1
2,1,num_pieces,73,0.014706850051879883,1300,0,0

1,3,num_pieces,1000,34.334803342819214,2282897,36805,1
2,1,side,1000,0.2870006561279297,19435,0,1

1,3,num_pieces,28,1.0759751796722412,62107,776,1
2,1,center,27,0.010401725769042969,472,0,0

1,3,side,30,2.336311101913452,80308,2038,1
2,1,subtraction,29,0.008667230606079102,639,0,0

1,3,side,30,2.3327345848083496,80308,2038,1
2,1,num_pieces,29,0.00871419906616211,639,0,0

1,3,side,39,3.481401205062866,148527,1974,1
2,1,side,38,0.012331485748291016,595,0,0

1,3,side,29,2.824770212173462,123733,1864,1
2,1,center,28,0.01186990737915039,525,0,0

1,3,center,75,15.829322576522827,611109,10471,1
2,1,subtraction,74,0.019962787628173828,1944,0,0

1,3,center,75,15.814457893371582,611109,10471,1
2,1,num_pieces,74,0.019695758819580078,1944,0,0

1,3,center,146,33.77523493766785,1015166,21698,1
2,1,side,144,0.058654069900512695,3665,0,0

1,3,center,22,3.2294397354125977,126065,1615,1
2,1,center,21,0.010238409042358398,431,0,0

1,3,subtraction,23,0.3863799571990967,26157,498,1
2,2,subtraction,22,0.10893821716308594,1031,270,0

1,3,subtraction,39,1.326852560043335,74062,1340,1
2,2,num_pieces,38,0.3219139575958252,2262,760,0

1,3,subtraction,26,0.7235884666442871,45956,698,1
2,2,side,25,0.22902131080627441,2846,474,0

1,3,subtraction,30,0.7859125137329102,54439,837,1
2,2,center,29,0.290571928024292,8982,472,0

1,3,num_pieces,24,0.5229489803314209,33980,528,1
2,2,subtraction,23,0.14360928535461426,1195,339,0

1,3,num_pieces,39,1.7917118072509766,107844,1265,1
2,2,num_pieces,38,0.3410179615020752,2023,876,0

1,3,num_pieces,29,0.9181985855102539,57654,787,1
2,2,side,28,0.2433617115020752,2582,503,0

1,3,num_pieces,35,0.7614002227783203,46995,803,1
2,2,center,34,0.2780623435974121,7918,487,0

1,3,side,20,2.7468621730804443,115642,1161,1
2,2,subtraction,19,0.1865689754486084,1146,385,0

1,3,side,26,3.0719122886657715,118809,1680,1
2,2,num_pieces,25,0.2133622169494629,1237,471,0

1,3,side,20,2.776740312576294,116479,1163,1
2,2,side,19,0.2155930995941162,3540,388,0

1,3,side,20,3.135190725326538,129959,1283,1
2,2,center,19,0.28597593307495117,8281,411,0

